"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 04월 18일","8.4265","9.4058","9.5020","7.1131","23.50M","-10.44%"
"2021년 04월 17일","9.4087","10.1757","10.3766","9.2896","14.20M","-7.58%"
"2021년 04월 16일","10.1803","9.7042","10.6143","8.9649","23.84M","4.91%"
"2021년 04월 15일","9.7038","9.2772","9.8144","9.1129","12.74M","4.51%"
"2021년 04월 14일","9.2846","9.5513","9.9870","8.8133","16.21M","-2.80%"
"2021년 04월 13일","9.5524","9.3701","9.7181","9.0197","11.84M","1.97%"
"2021년 04월 12일","9.3679","9.6068","9.7115","9.1359","11.53M","-2.49%"
"2021년 04월 11일","9.6071","10.0768","10.1302","9.4412","11.51M","-4.65%"
"2021년 04월 10일","10.0751","10.4366","11.3217","9.6744","19.86M","-3.41%"
"2021년 04월 09일","10.4310","10.2002","11.0958","9.5287","22.16M","2.32%"
"2021년 04월 08일","10.1949","9.9173","10.2573","9.0106","26.49M","2.83%"
"2021년 04월 07일","9.9147","9.3111","11.2541","8.6638","75.31M","6.51%"
"2021년 04월 06일","9.3087","8.7169","9.6066","8.2038","27.64M","6.79%"
"2021년 04월 05일","8.7168","7.8484","8.7665","7.8484","27.15M","11.28%"
"2021년 04월 04일","7.8331","6.7594","8.0073","6.6532","17.95M","15.89%"
"2021년 04월 03일","6.7593","7.5287","7.5362","6.7098","13.69M","-10.21%"
"2021년 04월 02일","7.5281","7.3441","7.6765","7.1075","15.54M","2.58%"
"2021년 04월 01일","7.3388","7.8827","8.0658","7.3388","18.19M","-6.76%"
"2021년 03월 31일","7.8705","6.6217","8.3614","6.4945","37.15M","18.86%"
"2021년 03월 30일","6.6217","6.7901","7.3180","6.5864","19.74M","-2.42%"
"2021년 03월 29일","6.7858","5.8780","7.1550","5.8443","28.75M","15.46%"
"2021년 03월 28일","5.8770","5.3280","6.2015","5.2706","21.16M","10.33%"
"2021년 03월 27일","5.3266","5.2970","5.4589","5.1935","9.95M","0.58%"
"2021년 03월 26일","5.2960","4.9581","5.3087","4.9539","10.08M","6.84%"
"2021년 03월 25일","4.9571","5.0997","5.1325","4.7159","14.47M","-2.80%"
"2021년 03월 24일","5.0999","5.7456","5.9098","4.9644","15.49M","-11.24%"
"2021년 03월 23일","5.7457","5.2735","5.7746","5.1691","14.58M","8.93%"
"2021년 03월 22일","5.2745","5.5855","5.8530","5.2560","14.47M","-5.63%"
"2021년 03월 21일","5.5889","5.6495","5.7407","5.3850","10.36M","-1.05%"
"2021년 03월 20일","5.6481","5.9200","6.0471","5.6423","10.38M","-4.61%"
"2021년 03월 19일","5.9209","6.0911","6.3462","5.8641","16.79M","-2.80%"
"2021년 03월 18일","6.0912","5.5971","6.1861","5.5242","21.32M","8.86%"
"2021년 03월 17일","5.5955","5.1801","5.6227","5.0604","16.40M","7.98%"
"2021년 03월 16일","5.1821","5.0274","5.1840","4.7982","11.65M","3.09%"
"2021년 03월 15일","5.0270","5.0854","5.3148","4.8293","15.89M","-1.15%"
"2021년 03월 14일","5.0855","5.3263","5.4173","5.0855","10.74M","-4.53%"
"2021년 03월 13일","5.3270","5.1121","5.3763","4.8541","14.69M","4.09%"
"2021년 03월 12일","5.1178","5.2006","5.4586","4.9535","17.43M","-1.58%"
"2021년 03월 11일","5.1999","5.0606","5.1999","4.7985","13.64M","2.68%"
"2021년 03월 10일","5.0643","5.4141","5.4344","5.0003","13.83M","-6.41%"
"2021년 03월 09일","5.4108","5.1668","5.5161","5.0854","16.50M","4.75%"
"2021년 03월 08일","5.1656","5.1297","5.2340","4.9165","11.61M","0.70%"
"2021년 03월 07일","5.1298","5.0808","5.2306","4.9138","11.99M","0.95%"
"2021년 03월 06일","5.0816","4.6134","5.2351","4.5262","17.30M","9.96%"
"2021년 03월 05일","4.6214","4.6392","4.6793","4.3231","11.54M","-0.36%"
"2021년 03월 04일","4.6381","4.7976","4.8959","4.5206","12.97M","-3.35%"
"2021년 03월 03일","4.7987","4.6040","4.9394","4.5532","13.46M","4.23%"
"2021년 03월 02일","4.6040","4.5589","4.8310","4.4118","15.47M","1.02%"
"2021년 03월 01일","4.5574","4.2406","4.6216","4.1845","12.48M","7.46%"
"2021년 02월 28일","4.2410","4.4571","4.5078","3.9318","11.73M","-4.82%"
"2021년 02월 27일","4.4559","4.4011","4.6816","4.3756","10.49M","1.33%"
"2021년 02월 26일","4.3975","4.5088","4.6220","4.1006","14.16M","-2.46%"
"2021년 02월 25일","4.5086","4.6836","5.0648","4.4796","13.21M","-3.57%"
"2021년 02월 24일","4.6757","4.6290","5.1272","4.3370","18.04M","1.84%"
"2021년 02월 23일","4.5912","5.4986","5.5356","3.8169","34.82M","-16.50%"
"2021년 02월 22일","5.4986","6.2672","6.2998","4.6204","27.54M","-12.19%"
"2021년 02월 21일","6.2620","6.1758","6.4477","6.0567","14.81M","1.01%"
"2021년 02월 20일","6.1994","6.4726","6.8339","5.9797","26.71M","-4.23%"
"2021년 02월 19일","6.4734","6.4807","6.6742","6.1628","16.78M","-0.12%"
"2021년 02월 18일","6.4815","6.3410","6.6211","6.2444","17.32M","2.47%"
"2021년 02월 17일","6.3254","6.1343","6.3632","5.6907","16.74M","3.53%"
"2021년 02월 16일","6.1094","6.1311","6.5097","5.8714","19.11M","-0.48%"
"2021년 02월 15일","6.1388","6.6511","6.8734","5.5388","30.27M","-7.67%"
"2021년 02월 14일","6.6488","7.5628","7.6618","6.4321","31.83M","-12.13%"
"2021년 02월 13일","7.5668","6.1513","7.7913","6.1386","56.78M","22.99%"
"2021년 02월 12일","6.1523","5.9538","6.3066","5.6898","28.19M","3.38%"
"2021년 02월 11일","5.9511","5.5608","6.1843","5.3882","36.07M","6.99%"
"2021년 02월 10일","5.5621","5.1260","5.9250","4.9225","43.83M","8.64%"
"2021년 02월 09일","5.1197","4.8634","5.2230","4.6708","28.49M","5.25%"
"2021년 02월 08일","4.8644","4.6250","4.9354","4.5060","24.48M","5.07%"
"2021년 02월 07일","4.6298","4.9037","5.0196","4.2907","28.05M","-5.51%"
